id,title,speakers,format,block,Horario,time_start,duration,time_end,video,slides,description
a1,Bienvenida + ¿Qué debería saber una Product Manager sobre Arquitectura de Software?,Perla Velasco-Elizondo,session,h1-a-2023,9:00 - 10:00,2023-05-17T09:00:00-06:00,60,2023-05-17T10:00:00-06:00,,,"Aunque como Product Manager una no necesita tener un amplio conocimiento sobre el diseño y/o la arquitectura de un sistema, el comprender cómo funcionan nuestros productos por dentro y por fuera, y qué decisiones arquitectónicas pueden mejorar las experiencias de nuestros clientes puesde contribuir a  mejorar significativamente nuestro trabajo. En esta charla explicaré, desde mi experiencia y la de otros colegas, lo que me ha sido útil saber, como Product Manager, sobre Arquitectura de Software."
a2,"El éxito no tiene títulos: mujeres rompiendo el molde, por Nimble Gravity","Claudia Juarez 
Galilea Valle",session,h1-a-2023,10:00 - 10:40 ,2023-05-17T10:00:00-06:00,40,2023-05-17T10:40:00-06:00,,,Claudia y Galilea nos compartirán su viaje personal para llegar al mundo del software dónde han podido romper muchos moldes y pensamientos relacionados al hacer carrera en la industria.
a3,Novedades de CSS,Leslie Herrera,session,h1-a-2023,10:40 - 11:20,2023-05-17T10:40:00-06:00,40,2023-05-17T11:20:00-06:00,,,"En esta charla hablaremos un poco del state of css 2022,  que funcionalidades ya tienen uso en todos los browsers las mejoras que tenemos hasta ahora y lo que se viene a trabajar con respecto a CSS para el año 2023"
a4,"Eliminando barreras en la web: Desarrollo de sitios accesibles, por Improving ",Melisa Quesada Corza,session,h1-a-2023,11:20 - 12:00,2023-05-17T11:20:00-06:00,40,2023-05-17T12:00:00-06:00,,,"Se discutirán las mejores prácticas y herramientas para garantizar que los sitios web sean accesibles para todos los usuarios, incluyendo aquellos con discapacidades físicas, visuales o cognitivas. Además, se destacará la importancia de la accesibilidad web como una forma de garantizar la inclusión y la igualdad de acceso a la información y los servicios en línea."
a5,Pentesting: cómo y por qué?,Cristina Mariscal,session,h1-a-2023,12:00 - 12:40,2023-05-17T12:00:00-06:00,40,2023-05-17T12:40:00-06:00,,,"Debido al creciente impacto de la seguridad informática en la industria del software, en esta sesión se discutirán los conceptos claves sobre *Pentesting* con un enfoque pragmático para que cualquier persona involucrada en el proceso de desarrollo pueda incursionar en este tipo de prácticas de seguridad con herramientas OpenSource."
a6,Charla presentada por Pepsico,,session,h1-a-2023,12:40 - 13:20,2023-05-17T12:40:00-06:00,40,2023-05-17T13:20:00-06:00,,,
a7,Charla presentada por Densitylabs,,session,h1-a-2023,13:20 - 14:00,2023-05-17T13:20:00-06:00,40,2023-05-17T14:00:00-06:00,,,
a8,Las mujeres STEM ante el reto del Nearshoring,Angeles Vela,session,h1-a-2023,14:00 - 14:30,2023-05-17T14:00:00-06:00,30,2023-05-17T14:30:00-06:00,,,"Me gustaría compartir con la audiencia las grandes oportunidades que se vienen ante la presencia del Nearshoring, específicamente los retos que tendremos las mujeres en el área STEM que si sabemos aprovechar se convertirán en una gran herramienta de estrategia."
a9,Por confirmar,,session,h1-a-2023,14:30 - 15:00,2023-05-17T14:00:00-06:00,30,2023-05-17T14:30:00-06:00,,,
a10,Presentación de  comunidades + Break,,community,h1-a-2023,15:00 - 16:00,2023-05-17T15:00:00-06:00,60,2023-05-17T16:00:00-06:00,,,"Women Who Code Guatemala
X-Women
Women Techmakers México
Pyladies En Español"
a11,WebDev + WomenDev: Cómo (sobre)vivir y crecer siendo mujer en el mundo Tech,Candy Flores Gracia,session,h1-a-2023,16:00 - 16:40,2023-05-17T16:00:00-06:00,40,2023-05-17T16:40:00-06:00,,,"Esta charla está diseñada para mujeres que trabajan en el desarrollo web y la tecnología, en un mundo dominado por hombres. La charla aborda los desafíos comunes que enfrentan las mujeres en la industria, desde la falta de representación y la discriminación hasta la desigualdad salarial y la falta de oportunidades de crecimiento.

La charla ofrece consejos prácticos y estrategias para superar estos obstáculos y destacar en el trabajo. Los temas que se abordarán incluyen cómo pedir aumentos de sueldo, demostrar tu valía en el trabajo, desarrollar habilidades de liderazgo y hacer crecer tu carrera en la industria tecnológica."
